POOL_NAME,PLATFORM,COUNT(TX_HASH)
WETH-DOGS,uniswap-v2,36
ABE-WETH,uniswap-v2,37
WETH-MARIE,uniswap-v2,117
0x094...9420-WETH,uniswap-v2,515
DENGY-WETH,uniswap-v2,29
ETH-wTAO 3000 60  UNI-V4 LP,uniswap-v4,5782
ETH-ANDY 3000 60  UNI-V4 LP,uniswap-v4,68
LUCE-WETH 10000 200 UNI-V3 LP,uniswap-v3,39
PENDLE-KABOSU,uniswap-v2,87
WETH-OINK,uniswap-v2,783
AIM-WETH,uniswap-v2,3
DEXTF-WETH,sushiswap,1266
WETH-BABIES,uniswap-v2,219
PIXEL-KABOSU,uniswap-v2,81
0x9cb...006b-WETH,uniswap-v2,138
WETH-HOP 10000 200 UNI-V3 LP,uniswap-v3,681
WETH-ccBCH,shibaswap,118
WETH-UBX,uniswap-v2,2568
BIO-USDT 3000 60 UNI-V3 LP,uniswap-v3,96
BENT-DAI,sushiswap,357
MIC-WETH 10000 200 UNI-V3 LP,uniswap-v3,175
WETH-CWH,uniswap-v2,614
BLOOM-USDC,uniswap-v2,196
USDC-RAE 10000 200 UNI-V3 LP,uniswap-v3,294
QRK-WETH,uniswap-v2,824
GHO-USDT 3000 60 UNI-V3 LP,uniswap-v3,573
中国制造-WETH,uniswap-v2,71
WETH-JOB,uniswap-v2,22
SS-WETH,uniswap-v2,20
ADOGE-WETH,uniswap-v2,3183
0x2ec...42f9-WETH,pancakeswap-v2,303
TOM3-PEPE 3000 60 UNI-V3 LP,uniswap-v3,51
WETH-0xc90...502e,uniswap-v2,67
TMAGA-WETH,uniswap-v2,25
6DC-USDT,uniswap-v2,176
1INCH-USDT,sushiswap,7
ZIRKA-WETH,uniswap-v2,6
RUNEVM-WETH,uniswap-v2,58
WETH-VINCE 10000 200 UNI-V3 LP,uniswap-v3,22
WITB-WETH,uniswap-v2,17
PORTAL-WETH,hashflow-v3,141
WETH-TAOCAT 100 1 UNI-V3 LP,uniswap-v3,52
Onigiri-WETH,uniswap-v2,6
WETH-BZEUS,uniswap-v2,2315
DTT-WETH,uniswap-v2,79
0x7bc...27a5-WETH,uniswap-v2,33
VPAD-USDT,uniswap-v2,55
0x91f...1863-WETH,uniswap-v2,1786
USDT-SPX 3000 60  UNI-V4 LP,uniswap-v4,64
YUSD-USDC 100 1  UNI-V4 LP,uniswap-v4,5055
YUSD-USDT 100 1  UNI-V4 LP,uniswap-v4,3961
WBTC-PAXG 3000 60 UNI-V3 LP,uniswap-v3,36
WETH-ZKGAI,uniswap-v2,859
CFT-WETH,uniswap-v2,41
PRARE-WETH,uniswap-v2,123
