POOL_NAME,PLATFORM,COUNT(TX_HASH)
PEPENNY-WETH,uniswap-v2,152
PRNG-WETH,uniswap-v2,4
GALAXY-EURS,uniswap-v2,1
DOOZIE-WETH,uniswap-v2,4
WETH-BCT,uniswap-v2,1
DAI-CREW,uniswap-v2,1
WETH-ZOOLANDER,uniswap-v2,2
WETH-GRIBA,uniswap-v2,4
POLYAI-WETH,uniswap-v2,1
0x782...bbd9-WETH,uniswap-v2,4
BABYBRETT-TrumpBucks,uniswap-v2,6
WETH-GROYP,uniswap-v2,186
arNXM-WETH,sushiswap,10
lemon3-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
DBDC-WETH,uniswap-v2,1
nTrump-DAI,sushiswap,2
Snowball-WETH,uniswap-v2,24
0xac9...ce36-WETH,uniswap-v2,5
0x7e4...dc61-WETH,uniswap-v2,8
WETH-0xe48...5796,uniswap-v2,5
MANGALA-WETH,uniswap-v2,96
T1C-WETH,uniswap-v2,2
WALL-WETH,uniswap-v2,122
ERC-WETH,uniswap-v2,3
WETH-1Chad,uniswap-v2,1
ANAH-WETH,uniswap-v2,2
WETH-0xfd8...2cfa,pancakeswap-v2,4
0x595...ee5b-WETH,uniswap-v2,7
WETH-GGEN,uniswap-v2,2
WETH-TEE2.0,uniswap-v2,4
0xbe8...4081-WETH,uniswap-v2,6
CONOR-WETH,uniswap-v2,21
GWH-WETH,uniswap-v2,30
MFGINU-WETH,uniswap-v2,17
WETH-MortyPad,uniswap-v2,5
WETH-Patrick 3000 60 UNI-V3 LP,uniswap-v3,3
TyTAMA-USDC,uniswap-v2,1
Mogei-WETH,uniswap-v2,2
FKNFTS-WETH,uniswap-v2,4
🟩-WETH,uniswap-v2,1
WETH-PHOEX,uniswap-v2,1
SUSHI-USDT,hashflow-v3,5
WETH-AICY,uniswap-v2,81
WETH-RoCoin,uniswap-v2,7
WETH-ESCE,dodo-v2,2
ENAI-TKP,uniswap-v2,2
ENAI-WETH,uniswap-v2,2
MAIA-WETH,uniswap-v2,3
WETH-$S.H.R.U.B,uniswap-v2,3
WALLE-WETH,uniswap-v2,3
TWRAE-WETH,uniswap-v2,3325
0xa7d...dbb7-WETH,uniswap-v2,2855
Mega-WETH,uniswap-v2,6392
BLSEYE🎯-SKOL,uniswap-v2,225
ELON-WETH 10000 200 UNI-V3 LP,uniswap-v3,6404
0x59a...f300-WETH,uniswap-v2,390
WETH-FCP,uniswap-v2,305
LK99-USDT 3000 60 UNI-V3 LP,uniswap-v3,424
MSTR-WETH,uniswap-v2,12034
DJIA-WETH,uniswap-v2,715
WETH-SHX,sushiswap,12272
RAI-DAI 500 10 UNI-V3 LP,uniswap-v3,6125
DEFI-WETH 100 1 UNI-V3 LP,uniswap-v3,11140
FakeAI-WETH,uniswap-v2,2778
DOS-WETH,uniswap-v2,127
VXV-WETH,shibaswap,3162
UNI-WETH 3000 60 UNI-V3 LP,uniswap-v3,60153
HARAMBE-WETH 3000 60 UNI-V3 LP,uniswap-v3,391
🌻ᔕᒪᑌGᒪOᖇᗪ🌻-WETH,uniswap-v2,443
PEW-WETH 10000 200 UNI-V3 LP,uniswap-v3,1595
WALLET-WETH 10000 200 UNI-V3 LP,uniswap-v3,2930
frxETH-FRAX 10000 200 UNI-V3 LP,uniswap-v3,3041
PUNK-WETH 3000 60 UNI-V3 LP,uniswap-v3,161
WETH-LUNA 10000 200 UNI-V3 LP,uniswap-v3,879
OTSea-WETH,uniswap-v2,1283
Curve.fi Factory Plain Pool: 3EURpool,curve,2850
Curve.fi Factory Plain Pool: tBTC/WBTC,curve,1965
POL-MATIC 3000 60 UNI-V3 LP,uniswap-v3,2230
WETH-SEE,uniswap-v2,28
MTLX-FET,uniswap-v2,1502
WETH-LYM,uniswap-v2,294
WETH-DEXE 100 1 PCS-V3 LP,pancakeswap-v3,12195
PAXG-iETH,uniswap-v2,76
WIN-IZE 3000 60 UNI-V3 LP,uniswap-v3,952
USR-USDC 100 1 UNI-V3 LP,uniswap-v3,274
BIT-WETH 3000 60 UNI-V3 LP,uniswap-v3,1254
SRM-WETH,sushiswap,500
WETH-FAFO,uniswap-v2,9715
ELON-WETH,shibaswap,5964
BOD -WETH,uniswap-v2,331
WETH-YOURAI,uniswap-v2,1927
RSR-WETH,uniswap-v2,1723
XHAMSTER-WETH,uniswap-v2,1
80085-WETH,uniswap-v2,18
WETH-TRUST,uniswap-v2,273
WETH-XGAI,uniswap-v2,1425
WETH-ZEUS,uniswap-v2,64
TOM3-USDC 3000 60 UNI-V3 LP,uniswap-v3,64
STOS-USDT 3000 60 UNI-V3 LP,uniswap-v3,738
TSUJI-WETH,uniswap-v2,655
XRP-USDC,uniswap-v2,54
CEL-WETH,sushiswap,344
WETH-MAX7,uniswap-v2,190
WETH-UNIX,uniswap-v2,341
X.com-WETH,uniswap-v2,1
WETH-RAMON,uniswap-v2,548
WETH-STEAK,shibaswap,56
QS-WETH,uniswap-v2,5262
WETH-N2O,uniswap-v2,4
XCEPT-WETH,uniswap-v2,93
WEINER-WETH,uniswap-v2,2
WETH-TRŌLL,uniswap-v2,17
XCAD-USDC,uniswap-v2,1995
TIXTOX-WETH,uniswap-v2,574
THOR-WETH,sushiswap,5430
OORT-USDT 100 1 UNI-V3 LP,uniswap-v3,575
DAR-WETH,uniswap-v2,3053
WETH-DOGEGF 500 10 UNI-V3 LP,uniswap-v3,1579
WETH-ZK 10000 200 UNI-V3 LP,uniswap-v3,10437
PLX-WETH,uniswap-v2,1713
VEE-USDC,curve,167
MAX-WETH 3000 60 UNI-V3 LP,uniswap-v3,617
5IRE-USDT,uniswap-v2,3039
LDY-WETH 3000 60 UNI-V3 LP,uniswap-v3,1358
WETH-MUSKITES,uniswap-v2,13
CJPY-PND 3000 60 UNI-V3 LP,uniswap-v3,221
FORTH-WETH 3000 60 UNI-V3 LP,uniswap-v3,2643
FLX-USDC,uniswap-v2,379
CTF-WETH 10000 200 UNI-V3 LP,uniswap-v3,651
USDC-WETH 2500 50 PCS-V3 LP,pancakeswap-v3,93
PEPA-WETH,uniswap-v2,1142
WETH-AD 3000 60 UNI-V3 LP,uniswap-v3,198
WETH-0xcbf...cfc1,uniswap-v2,189
EMPR-Pi,uniswap-v2,711
MAGE-WETH,uniswap-v2,30
TOWER-USDC,sushiswap,1609
WETH-SYLO,sushiswap,2350
MIRAI-WETH,uniswap-v2,8829
pSAFEMOON-WETH,uniswap-v2,142
BANANA-USDT,uniswap-v2,164
NEURON-WETH 10000 200 UNI-V3 LP,uniswap-v3,2051
KA$H-WETH,uniswap-v2,190
ORD-WETH,uniswap-v2,274
RPL-WETH,uniswap-v2,770
BURN-WETH,uniswap-v2,88
BISCUITS-WETH,uniswap-v2,29
TRADE-USDT,uniswap-v2,738
BERRY-KABOSU,uniswap-v2,154
USDC-DTL 10000 200 UNI-V3 LP,uniswap-v3,160
0x899...4977-WETH,uniswap-v2,39
WETH-GENSYN,uniswap-v2,717
COCAINE-WETH,uniswap-v2,1948
TrumpBucks-RIBBIT 10000 200 UNI-V3 LP,uniswap-v3,19
BETTY-WETH,uniswap-v2,832
HBTC-WETH,uniswap-v2,383
0xad1...4caf-WETH,uniswap-v2,4
HOT-USDC 10000 200 UNI-V3 LP,uniswap-v3,99
EEFS-WETH 10000 200 UNI-V3 LP,uniswap-v3,4689
MORPH-WETH 3000 60 UNI-V3 LP,uniswap-v3,2721
ATOS-USDT,uniswap-v2,1298
JPYC-WETH 3000 60 UNI-V3 LP,uniswap-v3,464
EURI-USDC 3000 60 UNI-V3 LP,uniswap-v3,112
MACR-WETH,uniswap-v2,3
WETH-BCI,uniswap-v2,12
0x80a...62a5-WETH,uniswap-v2,122
WETH-JUAN,uniswap-v2,377
WETH-MAYA,uniswap-v2,263
GOOSE-WETH,uniswap-v2,150
CBM-WETH,uniswap-v2,186
PROMPT-WETH,uniswap-v2,790
WETH-0xe2a...31a9,uniswap-v2,3
ALT-WETH 10000 200 UNI-V3 LP,uniswap-v3,967
ATH-WETH,uniswap-v2,657
WETH-ASS 3000 60 UNI-V3 LP,uniswap-v3,61
SOV-WETH 10000 200 UNI-V3 LP,uniswap-v3,124
GITCOIN-WETH,uniswap-v2,318
API3-SOTU,uniswap-v2,403
CASPER-WETH,uniswap-v2,2182
pDAI-USDC,uniswap-v2,11
CHANGE-USDC,uniswap-v2,33
USD0++-USD0 500 10 UNI-V3 LP,uniswap-v3,116
WETH-WCT 3000 60 UNI-V3 LP,uniswap-v3,2764
WETH-0xe51...0ef1,uniswap-v2,7
ROG-WETH,uniswap-v2,3309
0x929...52ef-WETH,uniswap-v2,587
BOI-WETH,uniswap-v2,19
CYBERTRUMP-WETH,uniswap-v2,636
WETH-SHOKK,uniswap-v2,24
BOPO-WETH,uniswap-v2,11
TURBO-WETH,hashflow-v3,74
WETH-MATE,uniswap-v2,9
XCAD-USDT,uniswap-v2,281
WETH-0xe4e...948f,uniswap-v2,304
GERTRUDE-WETH,uniswap-v2,10
WETH-0xc8b...6a88,uniswap-v2,149
WBGL-USDT 10000 200 UNI-V3 LP,uniswap-v3,156
WETH-0xc9a...5476 3000 60 UNI-V3 LP,uniswap-v3,1
syrupUSDC-USDC 800 16  UNI-V4 LP,uniswap-v4,71
AWSAI-WETH,uniswap-v2,180
DIREWOLF-WETH,uniswap-v2,30
CER-WETH,uniswap-v2,3
FIDO-WETH,uniswap-v2,620
USDC-cbBTC 500 10 PCS-V3 LP,pancakeswap-v3,2797
Curve.fi Factory USD Metapool: DOLA/FRAXBP,curve,3743
DAI-USDC 100 1 PCS-V3 LP,pancakeswap-v3,1517
USPEPE-WETH,uniswap-v2,1338
0x7ef...3102-WETH,uniswap-v2,615
WETH-$WelcomeBot,uniswap-v2,2
CTA-WETH 3000 60 UNI-V3 LP,uniswap-v3,3083
TRUF-WETH,uniswap-v2,192
Balancer ePENDLE/PENDLE,balancer,355
WETH-PMA,dodo-v2,223
$STABLECOINS-WETH,uniswap-v2,3
BABYCOCORO-WETH,uniswap-v2,6185
@SBR-WETH,uniswap-v2,212
HEGIC-DAI,uniswap-v2,371
ALEXIUS-WETH,uniswap-v2,3418
wALV-WETH,uniswap-v2,416
agEUR-WETH 500 10 UNI-V3 LP,uniswap-v3,757
Silo-FRAX,curve,1069
PRD-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
USDC-WEPE 3000 60 UNI-V3 LP,uniswap-v3,687
BADGER-USDT 3000 60 UNI-V3 LP,uniswap-v3,333
PNK-WETH,sushiswap,243
WETH-ATHENA,uniswap-v2,158
USC-WETH,uniswap-v2,498
CIF-WETH,uniswap-v2,35
WETH-UNIVERSE,uniswap-v2,60
HUZZ-WETH,uniswap-v2,328
DOGE2.0-WETH,uniswap-v2,37
TRUMP 007-WETH,uniswap-v2,71
ZIP-WETH,uniswap-v2,2215
₿UKELE-WETH,uniswap-v2,885
XMINIMUS-WETH,uniswap-v2,543
WETH-BLACK,uniswap-v2,63
WETH-DARKMUSK,uniswap-v2,136
MIMIR-WETH,uniswap-v2,101
WETH-UNC,uniswap-v2,10
DAI-3Crv-USDC-USDT-HUSD,curve,11
0xb47...3ce5-WETH,uniswap-v2,300
0x4fd...f167-WETH,uniswap-v2,6
Furie-WETH,uniswap-v2,113
WETH-WPSL,uniswap-v2,63
USDC-0xea0...e284,uniswap-v2,72
XY-USDC,uniswap-v2,66
WETH-SOHOT,uniswap-v2,31
ATA-WETH,sushiswap,419
WETH-KOENNEKO,uniswap-v2,15
BITCOIN-USDT,hashflow-v3,42
CHOW-WETH,uniswap-v2,326
CHWY-WETH,uniswap-v2,95
KERMIT -WETH,uniswap-v2,84
PUDGY-WETH,uniswap-v2,51
0x32c...e5de-WETH 100 1 PCS-V3 LP,pancakeswap-v3,3
KEEP-TBTC,uniswap-v2,119
WETH-NCAT 3000 60 UNI-V3 LP,uniswap-v3,4
GDT-USDT,uniswap-v2,180
WETH-BINGAI,uniswap-v2,14
DFV-WETH,uniswap-v2,57
0x22a...9896-WETH,uniswap-v2,1633
Moo Daeng-WETH,uniswap-v2,1602
0x3ea...f68c-WETH,uniswap-v2,310
0x8c7...686b-WETH,uniswap-v2,799
MUTE-WETH,uniswap-v2,102
WBGL-WETH 100 1 UNI-V3 LP,uniswap-v3,203
OORT-USDT 3000 60  UNI-V4 LP,uniswap-v4,702
0xb07...a7e6-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
0x87c...1cb5-WETH,uniswap-v2,2
WETH-JSB,uniswap-v2,20
DSGN-WETH,uniswap-v2,6
RTB-USDC,uniswap-v2,194
SACA-WETH,uniswap-v2,23
LUCKE-WETH,uniswap-v2,5
TENG-WETH,uniswap-v2,29
CUCK-WETH,uniswap-v2,76
YFII-SOTU,uniswap-v2,603
DOGEJR-WETH,uniswap-v2,73
RFI-YLD,uniswap-v2,9
WETH-PEAQ,uniswap-v2,33
0xbdb...8261-WETH 3000 60 UNI-V3 LP,uniswap-v3,1042
PENDY-WETH,uniswap-v2,560
MELO-WETH,uniswap-v2,64
ARB-WETH,sushiswap,60
ETH-WILD 3000 60  UNI-V4 LP,uniswap-v4,172
McCoin-WETH,uniswap-v2,5
WLF-WETH,uniswap-v2,56
PASTA-WETH,uniswap-v2,7
WETH-SHAMOON,uniswap-v2,2
WETH-CATX,uniswap-v2,10
$MOONSHB-WETH,uniswap-v2,18
WETH-SONA,uniswap-v2,321
WETH-MAXIMUSL,uniswap-v2,1085
GAMBI-WETH,uniswap-v2,20
TIB-WETH,uniswap-v2,32
WETH-SILE,uniswap-v2,1
FXS-WETH,hashflow-v3,49
Bera-WETH,uniswap-v2,66
SODA-WETH,uniswap-v2,471
BabyShiv-WETH,uniswap-v2,42
WETH-SIRIUS,uniswap-v2,23
WETH-CROC,uniswap-v2,48
USDEBT-PEPE,uniswap-v2,65
ENA-WETH,uniswap-v2,68
VUSD-WETH 3000 60 UNI-V3 LP,uniswap-v3,22
MP3-WETH,uniswap-v2,15
WETH-GWEI,uniswap-v2,122
WETH-FPUTIN,uniswap-v2,1
TGEORGE-WETH,uniswap-v2,1
RPL-WETH,hashflow-v3,99
HANU-GOJ,uniswap-v2,2
WETH-𝕏V,uniswap-v2,29
WETH-milady,uniswap-v2,745
KABOSU-FLOKI,uniswap-v2,48
NUMI-WETH 10000 200 UNI-V3 LP,uniswap-v3,82
COQNOT-WETH,uniswap-v2,1
MELON-WETH,uniswap-v2,302
GPYX-WETH,uniswap-v2,20
LGCD-WETH,uniswap-v2,94
B3-USDC,uniswap-v2,43
Zin-WETH,uniswap-v2,18
Chi-WETH,uniswap-v2,11
WETH-ERHINO,uniswap-v2,10
TBTC-TITANX 10000 200 UNI-V3 LP,uniswap-v3,63
MONKEYPOX-WETH,uniswap-v2,7
POOR-WETH,uniswap-v2,15
Catalorian-WETH,uniswap-v2,48
SHREMP-WETH,uniswap-v2,264
WITCH-WETH,uniswap-v2,1466
GORKIUS-WETH,uniswap-v2,3108
PARTYCAT-WETH,uniswap-v2,358
ETH-GULAG 10000 200  UNI-V4 LP,uniswap-v4,617
USDC-USDT 50000 1000  UNI-V4 LP,uniswap-v4,25
LEAF-WETH,uniswap-v2,181
PEPOKI-WETH,uniswap-v2,6
BOBI-WETH,uniswap-v2,90
DAI-alUSD 500 10 UNI-V3 LP,uniswap-v3,62
Taylor-WETH,uniswap-v2,9
WETH-VIPER,uniswap-v2,24
ETH-SPA 515000 10300  UNI-V4 LP,uniswap-v4,2
DGX-USDC,uniswap-v2,46
NFHK-WETH,uniswap-v2,107
TCAD-WETH,uniswap-v2,2
FSCC-WETH,uniswap-v2,3
MILK-WETH 100 1 UNI-V3 LP,uniswap-v3,51
WETH-BNTY 10000 200 UNI-V3 LP,uniswap-v3,6
0x225...117e-WETH,uniswap-v2,5
0x2ef...5268-WETH,uniswap-v2,162
0xbbf...5172-WETH,uniswap-v2,27
0x9cf...3e44-WETH,uniswap-v2,5
REPv2-USDC 10000 200  UNI-V4 LP,uniswap-v4,39
ETH-LEA 100 1  UNI-V4 LP,uniswap-v4,5
BABYXRP-WETH,uniswap-v2,19
0x52f...c4e0-WETH,uniswap-v2,13
0x267...6b6a-WETH,uniswap-v2,433
0x469...f036-WETH,uniswap-v2,4
0x316...3ec7-WETH,uniswap-v2,23
0x5af...fed4-WETH,uniswap-v2,133
PUPA-WETH,uniswap-v2,3
CRO-ETHMNY,uniswap-v2,20
🐶NEIROWIF-WETH,uniswap-v2,240
WETH-D三G三N,uniswap-v2,30
ETH-REACT 15000 300  UNI-V4 LP,uniswap-v4,64
UP-WETH,uniswap-v2,20
ETH-BITS 900000 18000  UNI-V4 LP,uniswap-v4,3
0x998...ef98-WETH,uniswap-v2,100
OSAK-Mog 10000 200  UNI-V4 LP,uniswap-v4,85
PEEZY-USDT 10000 200  UNI-V4 LP,uniswap-v4,44
WETH-0xcfd...e6a7,uniswap-v2,5
HBAR-WETH 3000 60 UNI-V3 LP,uniswap-v3,11
WETH-NOTE,uniswap-v2,6
PADRE-WETH 10000 200 UNI-V3 LP,uniswap-v3,31
ATHENE-WETH,uniswap-v2,39
TENET-WETH 10000 200 UNI-V3 LP,uniswap-v3,20
MNTL-WETH 3000 60 UNI-V3 LP,uniswap-v3,32
piglet-WETH,uniswap-v2,120
0xa73...488c-WETH,uniswap-v2,5
IRIDIA-WETH,uniswap-v2,1725
EDN-WETH,sushiswap,31
PARTY-USDC,uniswap-v2,42
XUSD-XUS,uniswap-v2,37
WETH-CMS,uniswap-v2,37
SUMMIT-WETH,uniswap-v2,660
MELD-WETH,uniswap-v2,79
ETP-WETH,uniswap-v2,27
QNT-VVV,uniswap-v2,18
BTK-WETH 3000 60 UNI-V3 LP,uniswap-v3,27
WALLY-WETH,uniswap-v2,222
WETH-AIDIVN,uniswap-v2,1484
ASTO-USDC 10000 200 UNI-V3 LP,uniswap-v3,38
WETH-CWG,uniswap-v2,402
Xmail-WETH,uniswap-v2,7
WETH-TRANCE,uniswap-v2,6
Ivana Trump-WETH,uniswap-v2,36
YZI-WETH,uniswap-v2,300
SWEET-WETH,uniswap-v2,20
DUA-USDT,uniswap-v2,81
TRAMBO-WETH,uniswap-v2,8
0x607...af53-WETH,uniswap-v2,484
0x55e...a46c-WETH,uniswap-v2,19
JAC-WETH,uniswap-v2,445
VLT-WETH,uniswap-v2,36
USDC-USDC 30000 600  UNI-V4 LP,uniswap-v4,6
AVA-WETH,uniswap-v2,41
KARO-WETH,uniswap-v2,10
WETH-SCOMP 10000 200 UNI-V3 LP,uniswap-v3,26
WETH-0xe40...396d,uniswap-v2,2
ZUZOLL-WETH,uniswap-v2,3
WETH-HNC,uniswap-v2,34
BUY-WETH,uniswap-v2,27
DAC-WETH,uniswap-v2,2
ETH-MUBI 10000 200  UNI-V4 LP,uniswap-v4,17
WCAT-WETH,uniswap-v2,2
CHARMY-WETH,uniswap-v2,12
0xa7e...b006-WETH,uniswap-v2,3
LOGCR-WETH,uniswap-v2,34
WBTC-YUSD 500 10  UNI-V4 LP,uniswap-v4,1657
WETH-🐟PISH,uniswap-v2,12
FEY-WETH,uniswap-v2,18
0xb1f...a1d9-WETH,uniswap-v2,4
UNI-TMV,uniswap-v2,1
WETH-GENJI,uniswap-v2,9
WETH-Dazhuang,uniswap-v2,128
Trunk-WETH,uniswap-v2,12
0xaf9...a041-WETH,uniswap-v2,2
WETH-EXRN,uniswap-v2,36
WETH-APESZN,uniswap-v2,4
0x3bc...297a-WETH,uniswap-v2,5
SNM-WETH,sushiswap,38
🐶AIWIF-WETH,uniswap-v2,45
UAHg-USDT 3000 60 UNI-V3 LP,uniswap-v3,2
MAWOLF-WETH,uniswap-v2,8
WETH-gOS,uniswap-v2,31
MOSES-WETH,uniswap-v2,32
WINU-WETH,shibaswap,2
0x9a5...7184-WETH,uniswap-v2,4
BVM-Naka 3000 60 UNI-V3 LP,uniswap-v3,30
A16Z-WETH,uniswap-v2,27
DREAM-USDT,uniswap-v2,27
LIGHT-USDT,sushiswap,17
BHNY-wPE,uniswap-v2,51
WETH-INJ 3000 60 UNI-V3 LP,uniswap-v3,21330
WETH-DSync,uniswap-v2,105921
MIR-WETH,uniswap-v2,3548
RAKE-WETH,uniswap-v2,751
MATIC-SHIB,shibaswap,480
ILV-WETH,sushiswap,26218
WETH-Flork,uniswap-v2,981
BAND-WETH,sushiswap,2570
TORN-WETH,uniswap-v2,20105
ENQAI-WETH 3000 60 UNI-V3 LP,uniswap-v3,7516
ASF-WETH 10000 200 UNI-V3 LP,uniswap-v3,2411
$MONG-WETH,uniswap-v2,4433
SSV-WETH 3000 60 UNI-V3 LP,uniswap-v3,13016
MTA-WETH,uniswap-v2,787
ZZZV2-WETH,uniswap-v2,4
USAM-WETH,uniswap-v2,21053
MATIC-WETH 500 10 UNI-V3 LP,uniswap-v3,1374
PAXG-USDC 3000 60 UNI-V3 LP,uniswap-v3,12911
USX-DF 3000 60 UNI-V3 LP,uniswap-v3,2130
WETH-WEPE 10000 200 UNI-V3 LP,uniswap-v3,10456
HORD-USDT,uniswap-v2,703
GTAVI-WETH,uniswap-v2,317
WIN-USDT 3000 60 UNI-V3 LP,uniswap-v3,4134
0xb12...8697-WETH,uniswap-v2,7
REVV-WETH,uniswap-v2,3789
tBTC-wstETH-crvUSD,curve,15346
RVST-WETH,uniswap-v2,1163
NEZHA-WETH,uniswap-v2,3251
WETH-XEROAI,uniswap-v2,2119
KIP-WETH 10000 200 UNI-V3 LP,uniswap-v3,2282
KABOSU-KNC,uniswap-v2,74
DEPIN-WETH,uniswap-v2,162
CEICEI-WETH,uniswap-v2,17
WETH-eEIGEN 3000 60 UNI-V3 LP,uniswap-v3,2589
ALIENX-TITANX,uniswap-v2,587
CDOGE-WETH,uniswap-v2,624
WETH-Chainback Web3 Internet Archive,uniswap-v2,172
ENA-WETH,hashflow-v3,181
PELISA-WETH,uniswap-v2,8
WETH-LPX 10000 200 UNI-V3 LP,uniswap-v3,14
CON-WETH 10000 200 UNI-V3 LP,uniswap-v3,3
JP2-WETH 10000 200 UNI-V3 LP,uniswap-v3,2
CLV-WETH,uniswap-v2,61
pPEPE-pOHM,uniswap-v2,64
DOJI-WETH,uniswap-v2,560
WETH-ETH,uniswap-v2,1397
Balancer ankrETH/wstETH StablePo,balancer,221
WETH-MUDBONE 3000 60 UNI-V3 LP,uniswap-v3,52
MFERS-WETH 3000 60 UNI-V3 LP,uniswap-v3,103
WSM-WETH 3000 60 UNI-V3 LP,uniswap-v3,62
MKR-LK99 3000 60 UNI-V3 LP,uniswap-v3,559
WETH-sGROK 10000 200 UNI-V3 LP,uniswap-v3,509
WETH-D.E.A.D,uniswap-v2,12
WETH-BBMICE,sushiswap,22
WPEPE-WETH,uniswap-v2,168
cBSN-WETH,uniswap-v2,19
UNCL-UNCX,uniswap-v2,30
BNKR-WETH 3000 60 UNI-V3 LP,uniswap-v3,30
BFT-USDC 3000 60  UNI-V4 LP,uniswap-v4,97
CRITTERS-WETH,uniswap-v2,805
0x819...a5f5-WETH,uniswap-v2,409
WETH-MISS MOODENG,uniswap-v2,64
BARRON-WETH,uniswap-v2,2852
BNB-WETH 3000 60 UNI-V3 LP,uniswap-v3,17193
ASTX-WETH 10000 200 UNI-V3 LP,uniswap-v3,1191
NXRA-WETH 10000 200 UNI-V3 LP,uniswap-v3,9072
DRV-WETH 10000 200 UNI-V3 LP,uniswap-v3,1294
0x658...fa4e-WETH,uniswap-v2,755
Curve.fi Factory Plain Pool: mkUSD/crvUSD,curve,1108
$AITHER-WETH,uniswap-v2,8037
GURU-WETH,uniswap-v2,5269
DOGE2.0-HAY,uniswap-v2,528
VANCE-WETH,uniswap-v2,2224
DINU-WETH,uniswap-v2,1096
CHZ-USDT 3000 60 UNI-V3 LP,uniswap-v3,488
WETH-LIME,dodo-v2,19
EJS-WETH,uniswap-v2,720
MMA-WETH 10000 200 UNI-V3 LP,uniswap-v3,1397
SHRUB-WETH 10000 200 UNI-V3 LP,uniswap-v3,2675
eUSD-USDC,curve,155
CINO-WETH,uniswap-v2,42
HMN-WETH 10000 200 UNI-V3 LP,uniswap-v3,924
WETH-ETHM,uniswap-v2,1486
REST-WETH,uniswap-v2,5
SRK-USDT,uniswap-v2,1160
WETH-VIVY,uniswap-v2,14
tBTC-frxETH-FRAX,curve,364
TIDAL-WETH,uniswap-v2,173
auraBAL-BAL 3000 60 UNI-V3 LP,uniswap-v3,124
0x004...812b-WETH,uniswap-v2,82
SHEI-WETH,uniswap-v2,307
DIA-KABOSU,uniswap-v2,102
HAY-WETH,uniswap-v2,15
RKR-WETH,uniswap-v2,445
DXT-WETH,uniswap-v2,15
WETH-TRU 10000 200 UNI-V3 LP,uniswap-v3,618
XIN-WETH 10000 200 UNI-V3 LP,uniswap-v3,1088
GHST-WETH 10000 200 UNI-V3 LP,uniswap-v3,467
BITCOIN-GONDOLA 10000 200 UNI-V3 LP,uniswap-v3,419
CSM-WETH,uniswap-v2,517
nd4-WETH,uniswap-v2,903
SCA-WETH,uniswap-v2,20
BITCOIN-DI 10000 200 UNI-V3 LP,uniswap-v3,459
MEDIA-WETH,uniswap-v2,2200
WIZARD-WETH,sushiswap,281
9200.eth-WETH,uniswap-v2,52
HALFIN-WETH,uniswap-v2,16
WETH-ELDG,uniswap-v2,180
WETH-$PEPUMP,uniswap-v2,38
WETH-XTM,uniswap-v2,55
$BTC2100-WETH,uniswap-v2,7
VIZ-WETH,uniswap-v2,23
WETH-TECHNOKING,uniswap-v2,556
WETH-Nobel,uniswap-v2,21
INUGAMI-WETH,uniswap-v2,25
ARRKY-GME 10000 200 UNI-V3 LP,uniswap-v3,24
GRUMPY-WETH,uniswap-v2,313
Cake-ABDS 10000 200 PCS-V3 LP,pancakeswap-v3,83
Imagen 3-WETH,uniswap-v2,3
14DNT-14WBTC-14VEE-14KEY-14SNT-1,balancer,282
FLX-UNI,uniswap-v2,34
0x000...5b3a-WETH,uniswap-v2,159
BUGSY-WETH,uniswap-v2,2382
WETH-RIC,dodo-v2,474
ABF-WETH,uniswap-v2,8
UFO-WETH 10000 200 UNI-V3 LP,uniswap-v3,44
ETH-VIRTUAL 10000 200  UNI-V4 LP,uniswap-v4,6287
ETH-USDT 3000 60  UNI-V4 LP,uniswap-v4,19594
0xc2c...3b4a-USDT,uniswap-v2,402
WETH-0xcd3...df2f,uniswap-v2,378
0x756...9e52-WETH,uniswap-v2,448
WETH-DUNG,uniswap-v2,9
10waz2-WETH,uniswap-v2,1920
PIPER-WETH,uniswap-v2,25
LGNDX-SHOGUN,uniswap-v2,18
CRGPT-WETH,uniswap-v2,153
WETH-KAGE,uniswap-v2,1266
WETH-ZKL,dodo-v2,329
-0NE,shibaswap,41
USDC-UOS 10000 200  UNI-V4 LP,uniswap-v4,1174
ETH-ELMO 10000 200  UNI-V4 LP,uniswap-v4,232
ETH-BOYS 3000 60  UNI-V4 LP,uniswap-v4,73
NICOBO-WETH,uniswap-v2,235
BTTOLD-WETH,uniswap-v2,25
WETH-$MEOW,uniswap-v2,27
UNI-Seal,uniswap-v2,161
0x904...01ea-WETH 100 1 UNI-V3 LP,uniswap-v3,19
RATIUS-WETH,uniswap-v2,825
WETH-JONAH,uniswap-v2,37
TIBBIR-WETH 3000 60 UNI-V3 LP,uniswap-v3,115
ECASH-WETH,uniswap-v2,690
DOGGGO-WETH,uniswap-v2,35
CAPC-WETH,sushiswap,1
0x44d...773b-WETH,uniswap-v2,5154
CATMARS-WETH,uniswap-v2,45
80LNDX-20WETH,balancer,728
KABOSU-STPT,uniswap-v2,413
WETH-GT,uniswap-v2,697
Fluffington-WETH,uniswap-v2,105
BLX-USDT 100 1 UNI-V3 LP,uniswap-v3,38
Dpepe-WETH,uniswap-v2,7
KABOSU-DOGE2.0,uniswap-v2,85
