DATE,HOUR,POOL,SWAP_COUNT,TOTAL_VOLUME_USD,MIN_DEPTH_USD,AVG_SLIPPAGE,MAX_SLIPPAGE,MAX_PRICE,MIN_PRICE,AVG_PRICE
2025-04-06 19:17:59.000,2025-04-06 19:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,31997.75,31997.75,0.0023,0.0023,1.000023127,1.000023127,1.000023127
2025-04-06 16:19:47.000,2025-04-06 16:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,1601.7,1601.7,0,0,1,1,1
2025-04-03 13:17:35.000,2025-04-03 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,6664.38,6664.38,0.0234,0.0234,0.9997659471,0.9997659471,0.9997659471
2025-04-03 13:52:23.000,2025-04-03 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,4662.42,4662.42,0.0249,0.0249,0.9997512331,0.9997512331,0.9997512331
2025-04-03 15:14:11.000,2025-04-03 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,77461.34,77461.34,0.0265,0.0265,0.9997346125,0.9997346125,0.9997346125
2025-04-03 14:38:11.000,2025-04-03 14:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,2148.6,2148.6,0.0056,0.0056,1.000055852,1.000055852,1.000055852
2025-04-03 13:33:23.000,2025-04-03 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,4481.72,4481.72,0.0268,0.0268,0.9997322815,0.9997322815,0.9997322815
2025-04-03 15:04:47.000,2025-04-03 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2780.56,2780.56,0.0259,0.0259,0.9997410929,0.9997410929,0.9997410929
2025-04-03 18:57:47.000,2025-04-03 18:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2059.11,2059.11,0.0126,0.0126,0.9998737398,0.9998737398,0.9998737398
2025-04-03 19:10:59.000,2025-04-03 19:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1601.73,1601.73,0.0112,0.0112,0.9998876278,0.9998876278,0.9998876278
2025-04-03 17:59:23.000,2025-04-03 17:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,1851.16,1851.16,0,0,1,1,1
2025-04-03 16:16:59.000,2025-04-03 16:00:00.000,DAI-USDC-USDT,2,106392.48,46963.57,0.024,0.0287,0.9998079547,0.9997129755,0.9997604651
2025-04-03 16:05:35.000,2025-04-03 16:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,772.19,772.19,0.0026,0.0026,1.000025901,1.000025901,1.000025901
2025-04-03 16:25:35.000,2025-04-03 16:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,35650.77,35650.77,0.0282,0.0282,0.999717858,0.999717858,0.999717858
2025-04-01 12:55:23.000,2025-04-01 12:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,503.5,503.5,0.0238,0.0238,0.9997616967,0.9997616967,0.9997616967
2025-04-01 13:38:35.000,2025-04-01 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1669.13,1669.13,0.0012,0.0012,0.9999880178,0.9999880178,0.9999880178
2025-04-01 15:16:35.000,2025-04-01 15:00:00.000,FRAX-USDC,1,5997.41,5997.41,0.0437,0.0437,0.9995632402,0.9995632402,0.9995632402
2025-04-01 15:24:23.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,10591.64,10591.64,0.0019,0.0019,0.9999811174,0.9999811174,0.9999811174
2025-04-01 08:46:35.000,2025-04-01 08:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,4855.92,4855.92,0.0255,0.0255,0.9997446742,0.9997446742,0.9997446742
2025-04-01 15:42:23.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,2,15868.17,4340.26,0.0035,0.0037,0.9999670371,0.9999631365,0.9999650868
2025-04-01 19:04:35.000,2025-04-01 19:00:00.000,Curve.fi Pool: DAI-USDC-USDT-sUSD,1,3735.85,3735.85,0.3943,0.3943,1.003942604,1.003942604,1.003942604
2025-04-01 00:27:47.000,2025-04-01 00:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,1698.76,1698.76,0.0118,0.0118,1.00011774,1.00011774,1.00011774
2025-04-01 02:48:35.000,2025-04-01 02:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,5530.32,5530.32,0.0224,0.0224,1.000224244,1.000224244,1.000224244
2025-04-01 02:44:35.000,2025-04-01 02:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,1170.03,1170.03,0.0427,0.0427,0.9995727518,0.9995727518,0.9995727518
2025-04-01 01:40:47.000,2025-04-01 01:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1017034.43,1017034.43,0.0115,0.0115,0.9998849073,0.9998849073,0.9998849073
2025-04-01 03:30:47.000,2025-04-01 03:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,3738.35,3738.35,0.0198,0.0198,1.000197968,1.000197968,1.000197968
2025-04-01 00:04:35.000,2025-04-01 00:00:00.000,FRAX-USDC,1,2246.61,2246.61,0.0062,0.0062,0.9999376858,0.9999376858,0.9999376858
2025-04-01 15:59:23.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,2,4699.79,2254.76,0.0013,0.0018,0.9999918202,0.9999822599,0.99998704
2025-04-01 21:39:47.000,2025-04-01 21:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,1351.66,1351.66,0.0207,0.0207,0.9997928688,0.9997928688,0.9997928688
2025-04-01 16:39:35.000,2025-04-01 16:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,5003.43,5003.43,0.0052,0.0052,0.999948037,0.999948037,0.999948037
2025-04-01 19:45:59.000,2025-04-01 19:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,3,5454.74,587.76,0.0111,0.0136,0.9999014495,0.9998638993,0.9998888871
2025-04-01 18:42:23.000,2025-04-01 18:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,20422.13,20422.13,0.0013,0.0013,1.000012731,1.000012731,1.000012731
2025-04-01 15:52:59.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,6181.68,6181.68,0.0006,0.0006,0.9999935293,0.9999935293,0.9999935293
2025-04-01 15:42:47.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,3686.19,3686.19,0.0038,0.0038,0.9999620211,0.9999620211,0.9999620211
2025-04-01 16:14:35.000,2025-04-01 16:00:00.000,Curve.fi Pool: DAI-USDC-USDT-sUSD,1,5358.49,5358.49,0.0123,0.0123,1.000123177,1.000123177,1.000123177
2025-04-03 12:53:23.000,2025-04-03 12:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,5614.46,5614.46,0.0142,0.0142,0.9998575209,0.9998575209,0.9998575209
2025-04-03 13:48:11.000,2025-04-03 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,3990.78,3990.78,0.007,0.007,1.000070164,1.000070164,1.000070164
2025-04-03 13:25:35.000,2025-04-03 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,3948.16,3948.16,0.0263,0.0263,0.9997366208,0.9997366208,0.9997366208
2025-04-03 15:51:11.000,2025-04-03 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,440.62,440.62,0.0182,0.0182,1.000181579,1.000181579,1.000181579
2025-04-03 15:17:23.000,2025-04-03 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,4735.06,4735.06,0.027,0.027,0.9997297126,0.9997297126,0.9997297126
2025-04-06 16:44:59.000,2025-04-06 16:00:00.000,RAI-DAI-3Crv-USDC-USDT,1,3835.54,3835.54,3.7525,3.7525,0.9624751847,0.9624751847,0.9624751847
2025-04-06 20:15:47.000,2025-04-06 20:00:00.000,DAI-USDC-USDT,1,339922.57,339922.57,0.0385,0.0385,0.9996145159,0.9996145159,0.9996145159
2025-04-06 11:43:59.000,2025-04-06 11:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,908.17,908.17,0.055,0.055,0.9994495938,0.9994495938,0.9994495938
2025-04-06 21:01:11.000,2025-04-06 21:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,13023.27,13023.27,0.0038,0.0038,1.000038394,1.000038394,1.000038394
2025-04-06 10:51:23.000,2025-04-06 10:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,4995.18,4995.18,0.0056,0.0056,1.000056056,1.000056056,1.000056056
2025-04-06 19:54:47.000,2025-04-06 19:00:00.000,DAI-USDC-USDT,2,5540.24,2348,0.0137,0.0138,0.9998637231,0.9998621753,0.9998629492
2025-04-06 23:14:23.000,2025-04-06 23:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,2,21834.11,6159.22,0.0364,0.0364,0.9996364272,0.9996363837,0.9996364054
2025-04-06 21:42:59.000,2025-04-06 21:00:00.000,Curve.fi Pool: DAI-USDC-USDT-sUSD,3,114430.76,12870.23,0.1216,0.2295,1.000885766,0.9977046625,0.9996860946
2025-04-06 20:44:23.000,2025-04-06 20:00:00.000,DAI-USDC-USDT,2,47485.29,23499.1,0.0021,0.0032,1.000009172,0.9999676589,0.9999884154
2025-04-06 22:13:35.000,2025-04-06 22:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,5413.68,5413.68,0.0126,0.0126,0.9998744002,0.9998744002,0.9998744002
2025-04-06 20:41:47.000,2025-04-06 20:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,14411.46,14411.46,0.01,0.01,1.000099925,1.000099925,1.000099925
2025-04-06 23:14:59.000,2025-04-06 23:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,3,21937.73,2785.44,0.0306,0.0374,1.00017234,0.9996259951,0.9998087759
2025-04-06 20:38:35.000,2025-04-06 20:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,46973.81,46973.81,0.0061,0.0061,1.000060887,1.000060887,1.000060887
2025-04-06 21:03:59.000,2025-04-06 21:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,2,23030.46,10846.3,0.0014,0.0015,1.000014752,1.000013132,1.000013942
2025-04-06 23:18:23.000,2025-04-06 23:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,2,8401.02,2365.91,0.0173,0.0178,1.000177537,1.000169025,1.000173281
2025-04-06 23:23:59.000,2025-04-06 23:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,3760.47,3760.47,0.0229,0.0229,0.9997713313,0.9997713313,0.9997713313
2025-04-06 22:58:59.000,2025-04-06 22:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,14572.09,14572.09,0.0314,0.0314,0.9996857499,0.9996857499,0.9996857499
2025-04-01 07:00:35.000,2025-04-01 07:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,4659.02,4659.02,0.0103,0.0103,0.9998969793,0.9998969793,0.9998969793
2025-04-01 07:18:35.000,2025-04-01 07:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,3,5225.05,1047.3,0.008,0.0083,1.000083146,1.00007639,1.000079677
2025-04-01 04:51:35.000,2025-04-01 04:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1776.3,1776.3,0.0023,0.0023,0.9999774815,0.9999774815,0.9999774815
2025-04-01 04:54:35.000,2025-04-01 04:00:00.000,DAI-USDC-USDT,1,999.82,999.82,0.024,0.024,0.9997599856,0.9997599856,0.9997599856
2025-04-01 05:24:59.000,2025-04-01 05:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,2499.22,2499.22,0.0112,0.0112,0.9998879713,0.9998879713,0.9998879713
2025-04-02 09:18:11.000,2025-04-02 09:00:00.000,USDK-DAI-3Crv-USDC-USDT,1,25997.68,25997.68,0.0078,0.0078,0.9999215345,0.9999215345,0.9999215345
2025-04-02 09:34:23.000,2025-04-02 09:00:00.000,DAI-USDC-USDT,1,6470.11,6470.11,0.0077,0.0077,0.9999227245,0.9999227245,0.9999227245
2025-04-02 11:25:59.000,2025-04-02 11:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,4534.76,4534.76,0,0,1,1,1
2025-04-02 09:54:59.000,2025-04-02 09:00:00.000,FRAX-USDC,1,40226.69,40226.69,0.0051,0.0051,1.000051211,1.000051211,1.000051211
2025-04-02 08:56:11.000,2025-04-02 08:00:00.000,RSV-DAI-3Crv-USDC-USDT,1,1085.87,1085.87,0.0018,0.0018,0.9999815818,0.9999815818,0.9999815818
2025-04-02 06:17:59.000,2025-04-02 06:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,3,6228.4,1613.04,0.0097,0.01,0.9999079472,0.9999004173,0.9999030593
2025-04-02 06:18:11.000,2025-04-02 06:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,2,3501.09,1372.67,0.0098,0.0102,0.999906038,0.9998980142,0.9999020261
2025-04-02 06:09:59.000,2025-04-02 06:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,2,2312.27,687.76,0.0101,0.0116,0.9999138239,0.9998836871,0.9998987555
2025-04-02 05:37:59.000,2025-04-02 05:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,512.12,512.12,0.0078,0.0078,0.9999218964,0.9999218964,0.9999218964
2025-04-02 10:07:11.000,2025-04-02 10:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,19753.68,19753.68,0.0089,0.0089,0.9999109066,0.9999109066,0.9999109066
