blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-11 0:00,0.0377,24,21135498.79,440350.5484,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-27 0:00,0.022,32,21044749.62,328869.9868,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-10 0:00,0.071,68,20982310.09,154251.0415,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-12 0:00,0.08,42,20841586.46,248209.7641,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-14 0:00,0.0395,45,20540994.7,228244.0602,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-25 0:00,0.0683,19,19748918.63,519783.7711,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-17 0:00,0.0214,27,19510277.27,361296.7822,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-01 0:00,0.0169,21,19227329.38,457787.4313,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-04 0:00,0.0311,65,18994356.59,146118.2448,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-05 0:00,0.0261,31,16670244.65,268867.4054,Stable Pair
ethereum,curve,TUSD-USDT,0xecd5e75afb02efa118af914515d6521aabd189f1,2023-06-10 0:00,0.2055,24,15444703.64,322067.8098,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-07 0:00,0.0061,27,15289025.12,283138.8467,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-29 0:00,0.0172,21,14560429.77,346701.0518,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-10 0:00,0.1118,108,13528240.87,62633.71864,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-10 0:00,0.1118,108,13528240.87,62633.71864,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-03 0:00,0.0329,73,13407216.83,91827.25537,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-11 0:00,0.0993,85,13265978.6,78033.44483,Stable Pair
ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-12 0:00,0.1302,71,13148901.88,92591.49843,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-16 0:00,0.0332,39,12784464.53,163916.6606,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-15 0:00,0.0341,23,12333221.4,268126.3363,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-29 0:00,0.4108,53,12103191.68,114220.8415,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-08 0:00,0.0907,57,11920419.21,104578.7221,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-31 0:00,0.3027,32,11772882.07,184492.3371,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-30 0:00,0.0293,19,11446523.87,301265.8019,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-21 0:00,0.0333,51,10206482.13,100064.1909,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-21 0:00,0.0333,51,10206482.13,100064.1909,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-24 0:00,0.0127,21,10014255.75,238438.0275,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-28 0:00,0.0251,13,9770424.036,375798.7312,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-12 0:00,0.0088,21,9381690.654,223388.9577,Stable Pair
